,date,year,month,day,area,lon,lat,fire,Alti,TEM_Max,TEM_Min,RHU_Min,PRE_Time_2020,Snow_Depth,WIN_S_Max,yth1,yth10,yth100,yth1000,kb,erc,sc,bi,p,FFMC,DMC,DC,FWI,ISI,BUI,DSR,FFDI,ic
2843,2015-07-12,2015,7,12,黑龙江省,122.8041,52.6611,1,450.0295257616304,34.248295713662756,10.557897286773311,16.848295713662758,0.0,0.0,5.586989854214964,4.049380699956393,5.674272685813958,10.227556429505862,11.259476744127973,271.34079144010013,21.245011969970854,3.801790640770239,22.29880443492691,0.7239318285465102,96.75538645691857,124.23592339418425,413.4354534318744,73.23718621861791,31.573374658589444,141.02603397296372,55.73782945860323,0.6582045143604689,51.44887140988274
2844,2015-07-12,2015,7,12,黑龙江省,122.7748,52.6577,1,448.8856667923899,34.26334648957382,10.532310967724511,16.863346489573818,0.0,0.0,5.657728500996948,4.050434254270168,5.6718645616681895,10.204980265639275,11.228773161269409,272.09769496066735,21.280230785602736,3.852210740072291,22.490400812274707,0.7245338595829527,96.76080473624658,125.06672622447479,413.7007986111865,73.82281190931728,31.883571150116403,141.67923764750373,56.39283922625259,0.6563984212511418,51.90039468721455
2845,2015-07-12,2015,7,12,黑龙江省,122.7937,52.635,1,450.8051971348279,34.23808951138384,10.575247830647466,16.838089511383842,0.0,0.0,5.539020703504063,4.048666265796868,5.6759056781785855,10.242865732924235,11.280297396776957,270.82752152749345,21.221129456638195,3.7675998631358745,22.168879479916328,0.7235235804553536,96.75171222409818,123.67254102838814,413.25551808569713,72.84006288794534,31.36302482962101,140.5830847940588,55.293655535424854,0.6594292586339388,51.14268534151529
2846,2015-07-12,2015,7,12,黑龙江省,122.8113,52.6251,1,452.16438193146087,34.22020550090182,10.605650648466888,16.820205500901828,0.0,0.0,5.454965854238598,4.047414385063127,5.678767119855706,10.269691748647256,11.316780778160265,269.928134640353,21.17928087211028,3.707688428021128,21.941216026480287,0.722808220036073,96.74527398032467,122.68534364978098,412.94022298089925,72.14419604009018,30.994435373586704,139.8069187391394,54.51534339924762,0.6615753398917804,50.60616502705487
2847,2015-07-13,2015,7,13,黑龙江省,122.786,52.6362,0,459.59117404676385,31.943885830578495,10.877225920905765,19.73254856773619,0.0,0.0,5.898719928013972,4.594732519305145,6.246815560656455,10.436100652010225,11.498372864962516,262.8551342293705,23.313162170972888,5.274873589212321,26.636394682159242,0.7107315924121738,96.14441301704025,119.8463569794952,413.7866080711778,70.80682051337908,30.45745848158719,137.23116314456695,52.76568869005379,0.6833690292471784,47.658559111579905
2848,2015-07-14,2015,7,14,黑龙江省,124.9806,53.1505,0,392.07382327983464,25.98396751971306,11.546709408648423,34.748719659319875,0.0,0.0,5.164466919211132,7.339934246575669,9.404141571249506,13.098184408650171,14.186467294667732,211.4406983667547,28.235548272206046,9.171735907950936,38.275470189135724,0.6718293186117474,92.79716336003737,65.43638064398056,385.0283618598925,41.112982016074604,16.44847071814079,90.28161655085435,19.929279720987715,0.6264533206867562,17.0722031984469
2849,2015-07-14,2015,7,14,黑龙江省,124.9986,53.1389,0,391.43047330077053,25.976035552401818,11.551767299056523,34.77704531111936,0.0,0.0,5.16728510523285,7.345146465083342,9.410685669289705,13.106693379077003,14.194923030687551,211.36323432131172,28.27914781563758,9.20032136804991,38.36401550538752,0.67181084526792,92.78900623011896,65.2604726241603,385.03379879277725,41.069841214869186,16.437709167533683,90.13013021976035,19.889630829729505,0.6261008129380666,17.023984538750927
2850,2015-07-15,2015,7,15,黑龙江省,124.9806,53.1505,0,371.0399318441603,28.567263854426358,5.188697105049622,27.869055417705436,0.0,0.0,2.6,6.158394143921397,8.32446580645256,13.705120529364033,14.786726385442632,211.28465710531398,35.832081422662164,4.90458306038031,32.42749836228185,0.6842866501246525,92.95684363937039,58.677670967737185,383.5676401987098,29.939462531016275,10.450592820511313,84.81811083541088,11.158986964432712,0.6401791563279079,12.065472291147278
2851,2015-07-15,2015,7,15,黑龙江省,124.9986,53.1389,0,370.9782177204785,28.567484893551292,5.189448638074401,27.869939574205176,0.0,0.0,2.5999999999999996,6.158540029743854,8.324638216970008,13.705288519098984,14.786748489355126,211.33351117270712,35.83186480431973,4.904552114902819,32.42731268941691,0.6843927489046213,92.95666238728793,58.67680891514995,383.60378009563664,29.93926359580383,10.450318731996393,84.81987914841035,11.158858761740248,0.6402454680653883,12.06503021289741
2852,2015-07-15,2015,7,15,黑龙江省,124.9388,53.156,0,371.0074385624967,28.56738023437501,5.189092796875039,27.86952093750004,0.0,0.0,2.5999999999999996,6.158470954687506,8.324556582812507,13.705208978125007,14.786738023437497,211.31037940156506,35.83196737031248,4.904566767187498,32.42740060312498,0.6843425125000054,92.95674820781248,58.67721708593744,383.58666832031435,29.939357789062484,10.450448509374985,84.81904187500007,11.158919464062492,0.6402140703125034,12.065239531249976
